m,epsilon_denominator,epsilon,queries,independent_exact_envelope,bisection_steps_per_edge,normalized_q_over_m_log2k
2,2,1/2,6,6,4,3.0
2,4,1/4,8,8,6,2.0
2,8,1/8,10,10,8,1.6666666666666667
2,16,1/16,12,12,10,1.5
2,32,1/32,14,14,12,1.4
2,64,1/64,16,16,14,1.3333333333333333
2,128,1/128,18,18,16,1.2857142857142858
2,256,1/256,20,20,18,1.25
2,512,1/512,22,22,20,1.2222222222222223
2,1024,1/1024,24,24,22,1.2
4,2,1/2,16,16,4,4.0
4,4,1/4,22,22,6,2.75
4,8,1/8,28,28,8,2.3333333333333335
4,16,1/16,34,34,10,2.125
4,32,1/32,40,40,12,2.0
4,64,1/64,46,46,14,1.9166666666666667
4,128,1/128,52,52,16,1.8571428571428572
4,256,1/256,58,58,18,1.8125
4,512,1/512,64,64,20,1.7777777777777777
4,1024,1/1024,70,70,22,1.75
8,2,1/2,36,36,4,4.5
8,4,1/4,50,50,6,3.125
8,8,1/8,64,64,8,2.6666666666666665
8,16,1/16,78,78,10,2.4375
8,32,1/32,92,92,12,2.3
8,64,1/64,106,106,14,2.2083333333333335
8,128,1/128,120,120,16,2.142857142857143
8,256,1/256,134,134,18,2.09375
8,512,1/512,148,148,20,2.0555555555555554
8,1024,1/1024,162,162,22,2.025
16,2,1/2,76,76,4,4.75
16,4,1/4,106,106,6,3.3125
16,8,1/8,136,136,8,2.8333333333333335
16,16,1/16,166,166,10,2.59375
16,32,1/32,196,196,12,2.45
16,64,1/64,226,226,14,2.3541666666666665
16,128,1/128,256,256,16,2.2857142857142856
16,256,1/256,286,286,18,2.234375
16,512,1/512,316,316,20,2.1944444444444446
16,1024,1/1024,346,346,22,2.1625
32,2,1/2,156,156,4,4.875
32,4,1/4,218,218,6,3.40625
32,8,1/8,280,280,8,2.9166666666666665
32,16,1/16,342,342,10,2.671875
32,32,1/32,404,404,12,2.525
32,64,1/64,466,466,14,2.4270833333333335
32,128,1/128,528,528,16,2.357142857142857
32,256,1/256,590,590,18,2.3046875
32,512,1/512,652,652,20,2.263888888888889
32,1024,1/1024,714,714,22,2.23125
64,2,1/2,316,316,4,4.9375
64,4,1/4,442,442,6,3.453125
64,8,1/8,568,568,8,2.9583333333333335
64,16,1/16,694,694,10,2.7109375
64,32,1/32,820,820,12,2.5625
64,64,1/64,946,946,14,2.4635416666666665
64,128,1/128,1072,1072,16,2.392857142857143
64,256,1/256,1198,1198,18,2.33984375
64,512,1/512,1324,1324,20,2.298611111111111
64,1024,1/1024,1450,1450,22,2.265625
128,2,1/2,636,636,4,4.96875
128,4,1/4,890,890,6,3.4765625
128,8,1/8,1144,1144,8,2.9791666666666665
128,16,1/16,1398,1398,10,2.73046875
128,32,1/32,1652,1652,12,2.58125
128,64,1/64,1906,1906,14,2.4817708333333335
128,128,1/128,2160,2160,16,2.4107142857142856
128,256,1/256,2414,2414,18,2.357421875
128,512,1/512,2668,2668,20,2.3159722222222223
128,1024,1/1024,2922,2922,22,2.2828125
256,2,1/2,1276,1276,4,4.984375
256,4,1/4,1786,1786,6,3.48828125
256,8,1/8,2296,2296,8,2.9895833333333335
256,16,1/16,2806,2806,10,2.740234375
256,32,1/32,3316,3316,12,2.590625
256,64,1/64,3826,3826,14,2.4908854166666665
256,128,1/128,4336,4336,16,2.419642857142857
256,256,1/256,4846,4846,18,2.3662109375
256,512,1/512,5356,5356,20,2.3246527777777777
256,1024,1/1024,5866,5866,22,2.29140625
